ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
SA27D5,"60/15/16A số 2, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",5600000.0,76.19,Nhà hẻm,4m,21.24m,Tây Bắc,2.0,2.0,2.0,73.50m²,,4m,alley houses,73500.45937787111,10.859128278438352,106.75073524728961,10.44019295998765,,,,,
21JNPZ,"217 Võ Thị Sáu, Đông Hòa, Dĩ An, TP.HCM",6950000.0,96.52,Nhà hẻm,4m,,,4.0,4.0,2.0,,72m²,,alley houses,72005.80190634065,10.818592722401844,106.70832194223145,4.411336651681605,,,,,
PV5Q5G,"222/4 Nguyễn Thái Sơn, P.4, Q.Gò Vấp, TP.HCM",7120000.0,78.65,Nhà hẻm,,,Tây Bắc,,,,,90.60m²,,alley houses,90527.65416401779,10.81326473038671,106.67954393604406,4.27256444328042,,,,,
6Q2EG8,"Nguyễn Bình Ấp 2, Xã Phú Xuân, H.Nhà Bè, TP.HCM",3650000.0,82.95,Nhà hẻm,3.61m,13.78m,Đông Bắc,2.0,1.0,1.0,44m²,33.30m²,4m,alley houses,44002.41109101869,10.701394722102526,106.73420057616936,9.486151095310618,,,,,
3DW1EQ,"77/4 Quốc lộ 1A, P.Linh Xuân, TP.Thủ Đức, TP.HCM",4900000.0,41.88,Nhà hẻm,,,Đông Nam,,,,,117m²,,alley houses,117000.95510983763,10.855404717292057,106.76097313532851,10.763470596735734,,,,,
AHNB3Y,"Nguyễn An Ninh, P.14, Q.Bình Thạnh, TP.HCM",30000000.0,145.98,Nhà hẻm,10m,20m,Bắc,3.0,5.0,3.0,205.50m²,164m²,,alley houses,205507.60378133992,10.814847671328284,106.71419626464952,4.218252775257657,,,,,
8YUNF3,"146/3 Nguyễn Văn Trỗi, P.8, Q.Phú Nhuận, TP.HCM",14600000.0,224.61,Nhà hẻm,6.8m,10m,Đông Bắc,1.0,1.0,1.0,65m²,70m²,4m,alley houses,65001.55825653354,10.802929102734934,106.6772705714161,3.4950985062705007,,,,,
3DWXKQ,"01 KP1, P.Thạnh Lộc, Q.12, TP.HCM",5100000.0,48.75,Nhà hẻm,,,Tây Bắc,,,,,104.60m²,,alley houses,104615.38461538461,10.790332591559688,106.6961167194689,1.2093676534244162,,,,,
QHR6DU,"33 Hẻm 164, P.Tân Chánh Hiệp, Q.12, TP.HCM",6100000.0,60.09,Nhà hẻm,,,Đông,,,,,101.50m²,,alley houses,101514.39507405557,10.764176053828146,106.7039158401266,1.8074207332111585,,,,,
UKJV4S,"330 An Bình, P.7, Q.5, TP.HCM",13200000.0,255.81,Nhà hẻm,,,Đông Nam,,,,,51.60m²,,alley houses,51600.79746686994,10.750466374761789,106.64887897754006,6.37196569219897,,,,,
SC03B5,"23 Hẻm 30, P.Tân Chánh Hiệp, Q.12, TP.HCM",7100000.0,50.1,Nhà hẻm,,,Nam,,,,,141.70m²,,alley houses,141716.56686626747,10.7826235792046,106.69133236431223,0.8983112521853424,,,,,
UKJTTS,"4a2 Hẻm 116, P.Hiệp Thành, Q.12, TP.HCM",7700000.0,50.35,Nhà hẻm,,,Đông Nam,,,,,152.90m²,,alley houses,152929.4935451837,10.777788941089748,106.6910842351744,0.896411772815186,,,,,
6A4TF8,"47/7A Huỳnh Tấn Phát, P.Tân Thuận Tây, Q.7, TP.HCM",8000000.0,74.62,Nhà hẻm,,,Đông Bắc,,,,,107.20m²,,alley houses,107209.86330742428,10.746950837360425,106.72363837223821,4.520619756720647,,,,,
PNZCZG,"813/9 Long Phước, Long Phước, Q.9, TP.HCM",6000000.0,67.95,Nhà hẻm,7.77m,11.97m,Nam,2.0,2.0,1.0,88.30m²,77.10m²,,alley houses,88300.22075055187,10.856285080191302,106.84318829396844,17.892011592999275,,,,,
8YFV73,"Hẻm 17 Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",4200000.0,58.33,Nhà hẻm,,,Đông,,,,,72m²,,alley houses,72004.11452082977,10.761565940946305,106.71142773099385,2.4290949064570078,,,,,
5B96G7,"34 Hẻm 551/195, P.Hiệp Thành, Q.12, TP.HCM",7500000.0,47.37,Nhà hẻm,,,Bắc,,,,,158.30m²,,alley houses,158328.05573147562,10.76281034440949,106.71096686578336,2.287023017445561,,,,,
26A9MZ,"880 Trường Chinh, Q.Tân Bình, TP.HCM",3500000.0,103.36,Nhà hẻm,,,Tây Nam,,,,,33.86m²,,alley houses,33862.229102167184,10.794558825751185,106.64206051404814,6.441016605865291,,,,,
