address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km,số phòng ngủ,số phòng tắm,diện tích sử dụng
"60/15/16A số 2, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",5600000.0,76.19,73500.45937787111,10.842391103330378,106.74245297849127,8.396890209420162,2.0,2.0,
"217 Võ Thị Sáu, Đông Hòa, Dĩ An, TP.HCM",6950000.0,96.52,72005.80190634065,10.735662528548675,106.67743835510889,5.421770358087251,4.0,4.0,72m²
"222/4 Nguyễn Thái Sơn, P.4, Q.Gò Vấp, TP.HCM",7120000.0,78.65,90527.65416401779,10.823465870706453,106.67026373857504,5.765444192545126,,,90.60m²
"Nguyễn Bình Ấp 2, Xã Phú Xuân, H.Nhà Bè, TP.HCM",3650000.0,82.95,44002.41109101869,10.684405022298817,106.73028107453132,11.090294625017457,2.0,1.0,33.30m²
"77/4 Quốc lộ 1A, P.Linh Xuân, TP.Thủ Đức, TP.HCM",4900000.0,41.88,117000.95510983763,10.836898738419492,106.74670799609035,8.19138969495691,,,117m²
"Nguyễn An Ninh, P.14, Q.Bình Thạnh, TP.HCM",30000000.0,145.98,205507.60378133992,10.80886601185153,106.72123796509136,4.030781086349851,3.0,5.0,164m²
"146/3 Nguyễn Văn Trỗi, P.8, Q.Phú Nhuận, TP.HCM",14600000.0,224.61,65001.55825653354,10.804383064722826,106.67159592046717,4.050128082338016,1.0,1.0,70m²
"01 KP1, P.Thạnh Lộc, Q.12, TP.HCM",5100000.0,48.75,104615.38461538461,10.764119719213419,106.68742000839562,2.148106606712539,,,104.60m²
"33 Hẻm 164, P.Tân Chánh Hiệp, Q.12, TP.HCM",6100000.0,60.09,101514.39507405557,10.768903339661572,106.70755934733961,1.5229598386692706,,,101.50m²
"330 An Bình, P.7, Q.5, TP.HCM",13200000.0,255.81,51600.79746686994,10.789393264993278,106.65578990950223,4.846744743060645,,,51.60m²
"23 Hẻm 30, P.Tân Chánh Hiệp, Q.12, TP.HCM",7100000.0,50.1,141716.56686626747,10.781626778728777,106.71029606691775,1.2490864588561545,,,141.70m²
"4a2 Hẻm 116, P.Hiệp Thành, Q.12, TP.HCM",7700000.0,50.35,152929.4935451837,10.77367158788467,106.69602137147972,0.7519365996048685,,,152.90m²
"47/7A Huỳnh Tấn Phát, P.Tân Thuận Tây, Q.7, TP.HCM",8000000.0,74.62,107209.86330742428,10.811537428959243,106.71899862016548,4.13591699721998,,,107.20m²
"813/9 Long Phước, Long Phước, Q.9, TP.HCM",6000000.0,67.95,88300.22075055187,10.779362661797933,106.67109461147675,3.05537466420663,2.0,2.0,77.10m²
"Hẻm 17 Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",4200000.0,58.33,72004.11452082977,10.769901513757308,106.7160761970953,2.161422567739988,,,72m²
"34 Hẻm 551/195, P.Hiệp Thành, Q.12, TP.HCM",7500000.0,47.37,158328.05573147562,10.771420108484785,106.70193749502941,0.978455742151344,,,158.30m²
"880 Trường Chinh, Q.Tân Bình, TP.HCM",3500000.0,103.36,33862.229102167184,10.80070864423223,106.6524315538583,5.596926494899158,,,33.86m²
"TK 11/22 đường Võ Văn Kiệt, P.Cầu Kho, Q.1, TP.HCM",6700000.0,2.61,2567049.8084291187,10.76662086247274,106.70644227165299,1.6666920711202715,5.0,6.0,52.40m²
"182/44A Bạch Đằng, P.14, Q.Bình Thạnh, TP.HCM",3000000.0,157.89,19000.570017100516,10.800206838950752,106.70424418701012,2.329843634959209,2.0,1.0,38m²
"518/21/46 Võ Văn Kiệt, P.Cầu Ông Lãnh, Q.1, TP.HCM",9000000.0,375.0,24000.0,10.768964607511586,106.70976687934196,1.6768980303665975,2.0,3.0,78.30m²
"39/11 Thạnh Lộc 40, P.Thạnh Lộc, Q.12, TP.HCM",5600000.0,101.81,55004.419998035555,10.776966715874265,106.70228448312281,0.47331663481892544,2.0,2.0,110m²
"19 Lê Trọng Tấn, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8800000.0,60.68,145023.07185234016,10.775311172586113,106.61806901917748,8.868195127676433,,,145m²
"đường 26/3, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8490000.0,152.85,55544.651619234544,10.757562002259357,106.58979941641866,12.196812815350565,4.0,5.0,
"409/40/66/12/20 Tân Chánh Hiệp 13, P.Trung Mỹ Tây, Q.12, TP.HCM",3900000.0,125.4,31100.47846889952,10.764934018034513,106.7058153858812,1.8026575566772483,2.0,2.0,58.10m²
"373/172/5/3 Lý Thường Kiệt, P.8, Q.Tân Bình, TP.HCM",7500000.0,154.95,48402.7105517909,10.798541009809638,106.64533841060461,6.227478502913232,4.0,5.0,156.40m²
"3/4 Tân Thới Nhất 13B, P.Tân Thới Nhất, Q.12, TP.HCM",11800000.0,70.15,168210.9764789736,10.768595121153805,106.69270510605476,1.4178284176815077,3.0,3.0,238.80m²
