address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km,số phòng ngủ,số phòng tắm,diện tích sử dụng
"10 Võ Chí Công, P.Phước Long B, TP.Thủ Đức, TP.HCM",4500000.0,90.0,50000.0,10.841900681751289,106.75097503210173,8.91510916258948,1.0,1.0,45m²
"đường Phước Thiện, Long Bình, Q.9, TP.HCM",3500000.0,52.63,66501.99505985179,10.800972185060207,106.69245141792817,2.4514663307799442,2.0,3.0,
"326/1 Đường Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM",5400000.0,72.19,74802.60423881424,10.806362523079493,106.70964309124187,3.160737339230704,2.0,1.0,
"137 Gò Dầu, P.Tân Quý, Q.Tân Phú, TP.HCM",2450000.0,30.62,80013.06335728282,10.783865010917639,106.6302910300443,7.531100127741394,2.0,2.0,
"Chung cư Hoàng Anh Gold Place, đường Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",4099999.999999999,36.93,111020.85025724341,10.700930249729325,106.73956378526498,9.784617051606446,3.0,2.0,111m²
"Chung cư Hoàng Anh Gold Place, đường Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",4350000.0,42.39,102618.54210898797,10.687676199110134,106.72763010539109,10.65795708832314,3.0,2.0,102.60m²
"Số 1 đường 104, Đảo Kim Cương, Bình Trưng Tây, Q.2, TP.HCM",130000000.0,232.14,560006.8923925218,10.80598534332235,106.65302842501872,5.80573246696963,4.0,4.0,
"CityLand Park Hills, đường Phan Văn Trị, P.10, Q.Gò Vấp, TP.HCM",12500000.0,66.91,186818.11388432223,10.819607606200004,106.67227972114325,5.287728614833751,5.0,4.0,173m²
"Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",4130000.0,65.55,63005.339435545386,10.79984176579844,106.63823850662186,7.008599243266855,2.0,2.0,63m²
"Căn hộ chung cư số 4.06 Tầng 5, Tháp CC8, Khu nhà ở Nguyên Sơn, ấp 3A, Xã Bình Hưng, H.Bình Chánh, TP.HCM",6300000.0,67.88,92810.84266352387,10.700389777980757,106.60722350326871,13.34028066493091,3.0,2.0,
"Căn hộ 404 Lô A4 Chung cư An Sương, P.Tân Hưng Thuận, Q.12, TP.HCM",2100000.0,38.46,54602.184087363494,10.787407512405535,106.71449830192948,1.890380564516287,1.0,1.0,50.90m²
"Lô V Chung cư Ngô Gia Tự Trần Nhân Tôn, P.2, Q.10, TP.HCM",3500000.0,69.0,50724.637681159424,10.788136681339616,106.70099457157706,0.9485121415956826,2.0,1.0,
"chung cư MT Eastmark City, Long Trường, Q.9, TP.HCM",4200000.0,57.22,73400.90877315625,10.793342029920037,106.68826696890413,1.9062571673058257,2.0,2.0,
"Căn hộ 7.04, Tầng 8, Chung cư IC2 - Cantavil đường số 25, P.An Phú, TP.Thủ Đức, TP.HCM",9000000.0,103.44,87006.96055684455,10.856561980792895,106.76820633095699,11.373290301280916,3.0,2.0,87m²
"đường số 10, P.10, Q.Gò Vấp, TP.HCM",8000000.0,71.23,112312.22799382282,10.84143602446156,106.6827373602549,7.048282423009874,2.0,2.0,105.40m²
"Căn hộ BS15.21.17- Phân khu The Beverly Solari, Vinhomes Grand Park - đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",4500000.0,76.27,59000.91779205455,10.827943031688221,106.70696020623262,5.39708721192673,2.0,2.0,54m²
"230 Nguyễn Trãi, P.Nguyễn Cư Trinh, Q.1, TP.HCM",12500000.0,290.69,43001.135229970074,10.78897360692665,106.69289450286055,1.217784538997678,1.0,1.0,
"Căn 605 (tầng 7) Chung cư 22 Nguyễn Trãi, P.Bến Thành, Q.1, TP.HCM",2000000.0,76.01,26312.327325351926,10.783370225997066,106.68786566744619,1.28359133003888,1.0,1.0,
"Căn hộ BS16.30.26 The Beverly Solari đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",4350000.0,62.14,70003.21853878339,10.786350742817117,106.69906640652846,0.7262696579586224,2.0,2.0,64m²
"Căn S20 và S21A, Tầng lững, khối 1 Chung cư Khang Gia Tân Hương, 377 Tân Hương, P.Tân Quý, Q.Tân Phú, TP.HCM",1900000.0,0.32,5937500.0,10.775966876446539,106.63781441556546,6.708149853955228,2.0,2.0,
"Chung cư 123 Bình Tây, P.1, Q.6, TP.HCM",3300000.0,65.77,50174.85175611982,10.74187509135114,106.68860906794177,4.3454134988745805,2.0,1.0,
"Căn 3.13 Chung cư Đoàn Văn Bơ, P.13, Q.4, TP.HCM",2150000.0,48.86,44003.27466230045,10.82875669919184,106.6695487348556,6.303655791489031,2.0,1.0,
"Căn 15.01, Tầng 15, Chung cư Kết hợp thương mại, văn phòng khu V - Sunrise City, khu South Towers, 23 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7, TP.HCM",14000000.0,83.33,168006.72026881075,10.78456094133111,106.70377460225326,0.7406545181506714,3.0,2.0,
"Căn 3-7 Lô B Chung cư Lạc Long Quân, P.5, Q.11, TP.HCM",1950000.0,43.91,44409.01844682305,10.777321114702284,106.70891419583064,1.1150558954528649,1.0,1.0,
"Căn 639B ( trệt + gác lững) Nguyễn Trãi, P.11, Q.5, TP.HCM",9500000.0,92.08,103171.1555169418,10.804748108413316,106.6551767533973,5.533844024102425,3.0,2.0,
"Căn hộ 4.18, Lô A Chung cư Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",1850000.0,43.42,42607.093505297096,10.80337985123815,106.61426363999048,9.630525601877556,2.0,2.0,
"Căn 5.07 - Tầng 5 Chung cư Hoàng Hoa Thám, P.13, Q.Tân Bình, TP.HCM",4650000.0,72.76,63908.74106652006,10.79162090603939,106.64470480421548,6.083637875067955,2.0,2.0,
"Căn hộ 8.06, Chung cư An Khánh đường Song Hành, P.An Phú, TP.Thủ Đức, TP.HCM",5250000.0,59.65,88013.41156747696,10.8549875400621,106.74839718023469,9.916764109473515,2.0,2.0,78.10m²
"Căn A.2.07 Block A, Khối CT1 Chung cư 243 Tân Hòa Đông, P.14, Q.6, TP.HCM",3150000.0,51.63,61011.040092969204,10.746018717771417,106.70564349234162,3.804430805787349,2.0,2.0,52.70m²
"Căn hộ 414 Tầng 5 Lô B1 Chung cư phường 3, Đường Vĩnh Hội, P.3, Q.4, TP.HCM",3850000.0,48.12,80008.31255195345,10.732611189899451,106.72906456863083,6.166119153385788,2.0,1.0,
"Căn hộ D12-12A, Dream Home Palace, P.7, Q.8, TP.HCM",2500000.0,0.4,6250000.0,10.764178028321618,106.73163083591052,3.961707332463242,2.0,2.0,
"Căn hộ P-65B, Tầng 7 Chung cư số 5 đường Cao Thắng, P.2, Q.3, TP.HCM",1670000.0,70.28,23762.094479225954,10.76362142399767,106.6658646839937,4.043814714464234,1.0,1.0,
"Căn hộ 5.05 Chung cư Phan Văn Trị, P.2, Q.5, TP.HCM",3300000.0,59.56,55406.312961719275,10.742831313767251,106.7160966310665,4.493700896612163,2.0,2.0,
"Căn 13.07 - Tầng 14 - Block B Chung cư IC2 Cantavil, đường số 25, P.An Phú, TP.Thủ Đức, TP.HCM",9000000.0,97.08,92707.0457354759,10.844150305623142,106.76725501213348,10.31294563285086,3.0,2.0,
"Căn 410 Tầng 5 Lô B Chung cư Cư Xá Gò Dầu 1, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",2650000.0,50.0,53000.0,10.794315272807793,106.6239809247428,8.363430461828283,2.0,1.0,
"Căn 0.17 Lô A Chung cư Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",4200000.0,100.0,42000.0,10.802988451763358,106.63488283855968,7.469927966463261,1.0,1.0,
"Căn hộ 2C-10-2 Chung cư cao tầng Phú Mỹ, P.Phú Mỹ, Q.7, TP.HCM",5700000.0,61.29,93000.48947626041,10.730915144935295,106.72277284624045,5.9971686323455025,2.0,2.0,
"Căn hộ A19.02 Lô A Chung cư số 4 Đường Phan Chu Trinh (nối dài), P.12, Q.Bình Thạnh, TP.HCM",3590000.0,64.1,56006.24024960999,10.806536637201456,106.70419241515852,3.0125035844532184,2.0,1.0,
"Căn 209 - Tầng 3 - Lô A - Chung Cư 207 Bùi Viện, P.Phạm Ngũ Lão, Q.1, TP.HCM",3600000.0,90.49,39783.401480826615,10.788605827028373,106.6897011456535,1.4115516803893469,1.0,1.0,
"Căn hộ 14.05, Tầng 15, Khối A Khu căn hộ chung cư cao tầng, 633 Kinh Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM",2750000.0,49.01,56110.99775556009,10.762709089742476,106.59994115333096,11.00059288727881,2.0,1.0,52m²
"Căn hộ 14.5 chung cư 326/1 Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM",5200000.0,69.51,74809.3799453316,10.817752646070335,106.71361820578944,4.492619588107097,2.0,1.0,
"Căn hộ 1.04 - Tầng 1 và 2 - Khối Tháp C Khu nhà ở cao tầng Công ty Saphire, 454 Võ Chí Công, P.Phú Hữu, TP.Thủ Đức, TP.HCM",12000000.0,66.92,179318.58936043037,10.855633807203443,106.76186367029253,10.844614317969892,4.0,1.0,166.30m²
"Căn hộ 3.20, Tầng 3, Tòa nhà S10.07 - 88 Phước Thiện, Long Bình, Q.9, TP.HCM",3320000.0,0.06,55333333.333333336,10.79302346947361,106.6877249483747,1.9163557089643342,2.0,2.0,
