address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km,số phòng ngủ,số phòng tắm,diện tích sử dụng
"Tam Long, TP.HCM, TP.HCM",3600000.0,28.66,125610.6071179344,10.789659681589075,106.6953718606185,1.16315924454557,2.0,2.0,
"Khu dân cư 13A Intresco, xã Bình Hưng, TP. HCM., Xã Bình Hưng, H.Bình Chánh, TP.HCM",18200000.0,130.0,140000.0,10.696155505480903,106.59879495021103,14.344903130978032,1.0,1.0,140m²
"42/9 Tân Hiệp 4, Xã Tân Hiệp, H.Hóc Môn, TP.HCM",7200000.0,40.0,180000.0,10.879120410680912,106.60457956338263,15.079740939412915,1.0,2.0,180m²
"193 Cô Giang, P.Cô Giang, Q.1, TP.HCM",25000000.0,596.65,41900.61174893154,10.768688501331377,106.69547554536392,1.2874438632666738,5.0,5.0,121.20m²
"33 Ngô Văn Sở, Dĩ An, Dĩ An, TP.HCM",8800000.0,96.7,91003.10237849018,10.825698595112467,106.73930155605198,6.722393563388641,4.0,5.0,91m²
"96 Nguyễn Đình Chiểu, Đông Hòa, Dĩ An, TP.HCM",7700000.0,82.79,93006.4017393405,10.821330620383957,106.7114049497661,4.790687453452142,4.0,4.0,93m²
"Văn Thân, P.8, Q.6, TP.HCM",26000000.0,174.14,149305.15677041461,10.787608979474019,106.73853534148355,4.40659756995752,4.0,5.0,192m²
"Tân Thành, P.16, Q.11, TP.HCM",12000000.0,225.56,53200.92214931725,10.761697426746778,106.69996369946412,2.003337548472584,4.0,4.0,147m²
"Ba Đình, P.8, Q.8, TP.HCM",16900000.0,219.76,76902.07499089917,10.757244942524999,106.6755537995482,3.578799815897505,7.0,8.0,248.30m²
"đường Minh Phụng, P.2, Q.6, TP.HCM",25000000.0,219.57,113858.90604363073,10.78959400872057,106.68452566408551,1.921675280153132,1.0,1.0,
"178 Nguyễn Suý, P.Tân Quý, Q.Tân Phú, TP.HCM",15000000.0,166.66,90003.60014400576,10.784861032088525,106.61569605554944,9.131040540436498,7.0,4.0,234m²
"115 Nguyễn Văn Luông, P.10, Q.6, TP.HCM",10000000.0,169.59,58965.74090453446,10.809417753081155,106.72129523007067,4.083381917385706,2.0,2.0,118m²
"đường Bình Tiên, P.14, Q.6, TP.HCM",40000000.0,233.99,170947.4763878798,10.815510334253675,106.70520182369077,4.008960376275675,6.0,4.0,276.20m²
"Tái Thiết, P.11, Q.Tân Bình, TP.HCM",14000000.0,127.5,109803.92156862745,10.804674108154245,106.66675840992592,4.475934606587831,2.0,2.0,
"đường Bà Hom, P.13, Q.6, TP.HCM",25000000.0,256.33,97530.52705496822,10.801670512327577,106.66301948985632,4.622607182130932,3.0,3.0,121.20m²
"Đinh Công Tráng, P.Tân Định, Q.1, TP.HCM",38000000.0,353.35,107542.09707089288,10.784990079776868,106.70686049260767,1.0321234661235128,8.0,8.0,397.04m²
"Tô Hiệu, P.Tân Thới Hòa, Q.Tân Phú, TP.HCM",17500000.0,196.03,89272.05019639852,10.80417155414397,106.63979160979778,7.017457269773586,3.0,4.0,291.20m²
"113 Tân Hóa, P.14, Q.6, TP.HCM",13500000.0,164.17,82231.83285618566,10.803026785545612,106.66545556161573,4.482181138805651,1.0,1.0,265.47m²
"453 Hoàng Văn Thụ, P.4, Q.Tân Bình, TP.HCM",30000000.0,338.39,88655.10210112593,10.811681611977434,106.63927834946479,7.4260225800837105,6.0,3.0,
"Hoàng Diệu, P.15, Q.4, TP.HCM",2750000.0,182.11,15100.763274943714,10.792317691353004,106.71980773582143,2.662035501651817,2.0,3.0,60.40m²
"70 Đặng Nguyên Cẩn, P.14, Q.6, TP.HCM",13000000.0,172.65,75296.84332464523,10.747536836000233,106.69319993139689,3.6235743026259466,1.0,1.0,68.80m²
"Tám Danh, P.4, Q.8, TP.HCM",11000000.0,242.82,45301.04604233589,10.7620103348913,106.73698873847614,4.5938101198877765,5.0,4.0,130m²
"Số 43, P.10, Q.6, TP.HCM",6300000.0,210.0,30000.0,10.792715634121132,106.7362970477364,4.319620183231395,3.0,3.0,100.30m²
"49A Lê Lai, P.12, Q.Tân Bình, TP.HCM",11900000.0,182.79,65102.02965151267,10.798771807371255,106.642889300579,6.48885345950071,5.0,4.0,211.70m²
"313 Nguyễn Thị Thập, P.Tân Phú, Q.7, TP.HCM",600000000.0,349.93,1714628.6400137169,10.798212272576063,106.61589657304305,9.31731807928113,2.0,2.0,
