Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
SA27D5,"60/15/16A số 2, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",5600000.0,76.19,Nhà hẻm,4m,21.24m,Tây Bắc,2.0,2.0,2.0,73.50m²,,4m,Cơ bản,
21JNPZ,"217 Võ Thị Sáu, Đông Hòa, Dĩ An, TP.HCM",6950000.0,96.52,Nhà hẻm,4m,,,4.0,4.0,2.0,,72m²,,,
PV5Q5G,"222/4 Nguyễn Thái Sơn, P.4, Q.Gò Vấp, TP.HCM",7120000.0,78.65,Nhà hẻm,,,Tây Bắc,,,,,90.60m²,,,
6Q2EG8,"Nguyễn Bình Ấp 2, Xã Phú Xuân, H.Nhà Bè, TP.HCM",3650000.0,82.95,Nhà hẻm,3.61m,13.78m,Đông Bắc,2.0,1.0,1.0,44m²,33.30m²,4m,Cơ bản,
3DW1EQ,"77/4 Quốc lộ 1A, P.Linh Xuân, TP.Thủ Đức, TP.HCM",4900000.0,41.88,Nhà hẻm,,,Đông Nam,,,,,117m²,,,
AHNB3Y,"Nguyễn An Ninh, P.14, Q.Bình Thạnh, TP.HCM",30000000.0,145.98,Nhà hẻm,10m,20m,Bắc,3.0,5.0,3.0,205.50m²,164m²,,,
8YUNF3,"146/3 Nguyễn Văn Trỗi, P.8, Q.Phú Nhuận, TP.HCM",14600000.0,224.61,Nhà hẻm,6.8m,10m,Đông Bắc,1.0,1.0,1.0,65m²,70m²,4m,Cơ bản,
3DWXKQ,"01 KP1, P.Thạnh Lộc, Q.12, TP.HCM",5100000.0,48.75,Nhà hẻm,,,Tây Bắc,,,,,104.60m²,,,
QHR6DU,"33 Hẻm 164, P.Tân Chánh Hiệp, Q.12, TP.HCM",6100000.0,60.09,Nhà hẻm,,,Đông,,,,,101.50m²,,,
UKJV4S,"330 An Bình, P.7, Q.5, TP.HCM",13200000.0,255.81,Nhà hẻm,,,Đông Nam,,,,,51.60m²,,,
SC03B5,"23 Hẻm 30, P.Tân Chánh Hiệp, Q.12, TP.HCM",7100000.0,50.1,Nhà hẻm,,,Nam,,,,,141.70m²,,,
UKJTTS,"4a2 Hẻm 116, P.Hiệp Thành, Q.12, TP.HCM",7700000.0,50.35,Nhà hẻm,,,Đông Nam,,,,,152.90m²,,,
6A4TF8,"47/7A Huỳnh Tấn Phát, P.Tân Thuận Tây, Q.7, TP.HCM",8000000.0,74.62,Nhà hẻm,,,Đông Bắc,,,,,107.20m²,,,
PNZCZG,"813/9 Long Phước, Long Phước, Q.9, TP.HCM",6000000.0,67.95,Nhà hẻm,7.77m,11.97m,Nam,2.0,2.0,1.0,88.30m²,77.10m²,,,
8YFV73,"Hẻm 17 Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",4200000.0,58.33,Nhà hẻm,,,Đông,,,,,72m²,,,
5B96G7,"34 Hẻm 551/195, P.Hiệp Thành, Q.12, TP.HCM",7500000.0,47.37,Nhà hẻm,,,Bắc,,,,,158.30m²,,,
26A9MZ,"880 Trường Chinh, Q.Tân Bình, TP.HCM",3500000.0,103.36,Nhà hẻm,,,Tây Nam,,,,,33.86m²,,,
8UECF3,"TK 11/22 đường Võ Văn Kiệt, P.Cầu Kho, Q.1, TP.HCM",6700000.0,2.61,Nhà hẻm,2.85m,10.6m,Đông Nam,5.0,6.0,4.0,26.10m²,52.40m²,2m,,Sổ riêng
6SCZ48,"182/44A Bạch Đằng, P.14, Q.Bình Thạnh, TP.HCM",3000000.0,157.89,Nhà hẻm,3.05m,6.05m,Nam,2.0,1.0,2.0,19m²,38m²,,,Sổ riêng
DC46VH,"518/21/46 Võ Văn Kiệt, P.Cầu Ông Lãnh, Q.1, TP.HCM",9000000.0,375.0,Nhà hẻm,3m,8m,Đông Nam,2.0,3.0,3.0,24m²,78.30m²,3.3m,Cơ bản,Sổ riêng
DEPB7H,"39/11 Thạnh Lộc 40, P.Thạnh Lộc, Q.12, TP.HCM",5600000.0,101.81,Nhà hẻm,5m,11m,Đông Nam,2.0,2.0,2.0,55m²,110m²,,Đầy đủ,
6A4MK8,"19 Lê Trọng Tấn, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8800000.0,60.68,Nhà hẻm,,,Đông Bắc,,,,,145m²,,,
5H4DU7,"đường 26/3, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8490000.0,152.85,Nhà hẻm,4m,13.92m,Bắc,4.0,5.0,4.0,55.60m²,,7m,,
CWWFHB,"409/40/66/12/20 Tân Chánh Hiệp 13, P.Trung Mỹ Tây, Q.12, TP.HCM",3900000.0,125.4,Nhà hẻm,4m,9.66m,Đông Bắc,2.0,2.0,2.0,31.10m²,58.10m²,3m,,
DE4DDH,"373/172/5/3 Lý Thường Kiệt, P.8, Q.Tân Bình, TP.HCM",7500000.0,154.95,Nhà hẻm,3.95m,12.1m,Tây Bắc,4.0,5.0,6.0,48.40m²,156.40m²,,,
SHDXR5,"3/4 Tân Thới Nhất 13B, P.Tân Thới Nhất, Q.12, TP.HCM",11800000.0,70.15,Nhà hẻm,7.48m,22.5m,Tây Nam,3.0,3.0,3.0,168.20m²,238.80m²,5m,Cơ bản,
C0JNPB,"97/35 Phạm Phú Thứ, P.2, Q.6, TP.HCM",2850000.0,80.96,Nhà hẻm,3.25m,10.82m,Tây,4.0,3.0,2.0,35.20m²,86m²,,,
3DWEVQ,"8/24C Trương Công Định, Q.Tân Bình, TP.HCM",5740000.0,116.94,Nhà hẻm,,,Đông Bắc,,,,,49.10m²,,,
AHWJ4Y,"633/12/2 Hồng Bàng, P.6, Q.6, TP.HCM",15000000.0,206.34,Nhà hẻm,4.05m,17.58m,Tây Nam,6.0,2.0,5.0,71.10m²,189.20m²,8m,,Sổ riêng
0F1B9N,"101/50A7 Kênh Tân Hóa, P.14, Q.6, TP.HCM",10500000.0,225.32,Nhà hẻm,4m,12.3m,Bắc,5.0,5.0,6.0,46.60m²,218.80m²,5m,,
6A4CN8,"8/24C Trương Công Định, P.14, Q.Tân Bình, TP.HCM",5310000.0,120.46,Nhà hẻm,,,Đông Bắc,,,,,44.16m²,,,
0XSTT9,"17C Hẻm A4, Xã Lê Minh Xuân, H.Bình Chánh, TP.HCM",3610000.0,16.36,Nhà hẻm,,,Đông Nam,,,,,220.70m²,,,Sổ riêng
6A4G58,"45/16M Tổ 45 KP4, P.Tân Chánh Hiệp, Q.12, TP.HCM",4800000.0,49.94,Nhà hẻm,,,Đông Bắc,,,,,96.10m²,,,
0XUQU9,"48 Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",5750000.0,69.86,Nhà hẻm,,,Bắc,,,,,82.30m²,,,
13F1R6,"Bãi Sậy, P.1, Q.6, TP.HCM",13000000.0,92.85,Nhà hẻm,8m,13.65m,Đông,3.0,2.0,2.0,140m²,201.95m²,1m,,
5YEBS7,"Nguyễn Văn Luông, P.11, Q.6, TP.HCM",12500000.0,89.4,Nhà hẻm,4m,27.65m,Tây Nam,4.0,3.0,3.0,125.90m²,,4.5m,,Sổ riêng
3DW41Q,"A16 Ấp Mỹ Hòa 2, Xã Xuân Thới Đông, H.Hóc Môn, TP.HCM",3900000.0,37.0,Nhà hẻm,,,Tây Nam,,,,,105.40m²,,,
PV75AG,"84 Phạm Hữu Lầu, P.Phú Mỹ, Q.7, TP.HCM",6100000.0,63.89,Nhà hẻm,,,Tây,,,,,95.47m²,,,
EPVYC4,"132/153 Đoàn Văn Bơ, P.14, Q.4, TP.HCM",7800000.0,92.52,Nhà hẻm,,,Tây Bắc,,,,,84.30m²,,,
UKJXBS,"224 Hiệp Thành 5, P.Tân Thới Hiệp, Q.12, TP.HCM",6900000.0,62.16,Nhà hẻm,,,Tây Nam,,,,,111m²,,,
4JQR7F,"B3/5, ấp 2, Xã Vĩnh Lộc A, H.Bình Chánh, TP.HCM",5300000.0,16.8,Nhà hẻm,8m,18m,,2.0,2.0,1.0,315.40m²,,,,
KE0Y1C,"đường Bà Ký, P.9, Q.6, TP.HCM",9000000.0,107.89,Nhà hẻm,5.31m,21.44m,Tây Nam,2.0,2.0,2.0,79.30m²,,5.4m,,Sổ riêng
132Y06,"44 Số 32, P.Tân Phong, Q.7, TP.HCM",16900000.0,234.72,Nhà hẻm,4m,18m,Nam,7.0,4.0,4.0,72m²,190.08m²,10m,Cơ bản,
CKPJBC,"115/1/82 Nguyên Hồng, P.1, Q.Gò Vấp, TP.HCM",1980000.0,154.68,Nhà hẻm,3.42m,4.96m,Tây Nam,2.0,2.0,2.0,12.80m²,25.60m²,3m,Cơ bản,
G1A7A2,"50/7 Trần Xuân Soạn, P.Tân Kiểng, Q.7, TP.HCM",6900000.0,76.32,Nhà hẻm,,,Bắc,,,,,90.40m²,,,
CF0QZB,"115/15 Lê Trọng Tấn, P.Sơn Kỳ, Q.Tân Phú, TP.HCM",6900000.0,146.49,Nhà hẻm,3.92m,12m,Tây,4.0,3.0,3.0,47.10m²,133.30m²,4.6m,,
36VZQ3,"đường Trần Hưng Đạo, P.Cầu Kho, Q.1, TP.HCM",8500000.0,257.57,Nhà hẻm,3.1m,9.83m,Tây Bắc,5.0,5.0,3.0,33m²,,,,
Q5YEMU,"Hậu Giang, P.2, Q.6, TP.HCM",7500000.0,100.14,Nhà hẻm,6.87m,11.59m,Đông Bắc,5.0,6.0,2.0,86m²,131.30m²,2.35m,,Sổ riêng
AH8T7Y,"263/34  Xóm Chiếu, P.15, Q.4, TP.HCM",13500000.0,156.97,Nhà hẻm,4.48m,18.27m,Bắc,4.0,4.0,4.0,86m²,241.20m²,3m,Cơ bản,
EP1TM4,"73/24/22 Đô Đốc Long, P.Tân Quý, Q.Tân Phú, TP.HCM",6300000.0,75.63,Nhà hẻm,,,Đông,,,,,83.30m²,,,
UCFD1S,"đường số 339, P.Phước Long B, TP.Thủ Đức, TP.HCM",20000000.0,97.89,Nhà hẻm,10m,20.95m,Tây Bắc,5.0,5.0,3.0,204.30m²,,5m,,Sổ riêng
PV73UG,"724/12 Tổ 39 Khu phố 3, P.10, Q.10, TP.HCM",9300000.0,173.5,Nhà hẻm,,,Đông Bắc,,,,,53.60m²,,,
5YMYJ7,"Trường Chinh, P.12, Q.Tân Bình, TP.HCM",8500000.0,2.07,Nhà hẻm,3.5m,11.35m,Tây Bắc,2.0,2.0,2.0,35.81m²,71.62m²,,,
17U9T6,"32/36/26G Ông Ích Khiêm, P.11, Q.11, TP.HCM",2150000.0,154.67,Nhà hẻm,2.2m,6.7m,Đông Nam,2.0,2.0,2.0,13.90m²,27.80m²,,,
J21XX0,"383/70 Quang trung, P.10, Q.Gò Vấp, TP.HCM",6900000.0,110.22,Nhà hẻm,3.65m,17.8m,Tây Bắc,3.0,2.0,2.0,62.60m²,104.50m²,4m,Đầy đủ,
5EYGT7,"208/56 Đoàn Văn Bơ, P.9, Q.4, TP.HCM",5300000.0,139.47,Nhà hẻm,5m,8m,Đông Nam,4.0,3.0,3.0,38m²,99.60m²,3m,Cơ bản,
20RAZN,"Phan Anh, P.Hiệp Tân, Q.Tân Phú, TP.HCM",6400000.0,102.89,Nhà hẻm,4m,15.55m,,3.0,2.0,3.0,62.20m²,124.60m²,4m,,
3SNE4Q,"135/14 Đường Bình Thới, P.11, Q.11, TP.HCM",8300000.000000001,126.33,Nhà hẻm,4m,16m,Đông Bắc,2.0,2.0,2.0,65.70m²,81.20m²,8m,Cơ bản,
U7K2CS,"131/26 Kinh Dương Vương, P.12, Q.6, TP.HCM",16500000.0,93.05,Nhà hẻm,8.03m,20.58m,Đông,6.0,5.0,4.0,163.40m²,,5.52m,,Sổ riêng
SD4MC5,"Thới An 13, P.Thới An, Q.12, TP.HCM",4200000.0,73.68,Nhà hẻm,4m,14.25m,Tây,2.0,2.0,2.0,57m²,74.80m²,,,Sổ riêng
SAVVN5,"Bùi Đình Tuý, P.12, Q.Bình Thạnh, TP.HCM",6850000.0,143.9,Nhà hẻm,3.95m,12m,Bắc,2.0,2.0,2.0,47.60m²,,2.5m,,
7D15QA,"63/7 Đường Thạnh Lộc 40, P.Thạnh Lộc, Q.12, TP.HCM",7980000.0,123.91,Nhà hẻm,4m,16.17m,Đông Bắc,4.0,4.0,5.0,64.40m²,225.50m²,8m,Đầy đủ,
GNU092,"120/2A Đường Thới An 13, P.Thới An, Q.12, TP.HCM",6000000.0,100.0,Nhà hẻm,4m,14.01m,Đông,5.0,4.0,3.0,55.40m²,133.60m²,6m,,
7D8RJA,"Huỳnh Tấn Phát, P.Phú Mỹ, Q.7, TP.HCM",4300000.0,125.36,Nhà hẻm,4m,8.45m,Tây Bắc,2.0,2.0,2.0,34.30m²,32.70m²,2m,,
9TMJVP,"58/1C Đồng Nai, P.15, Q.10, TP.HCM",10950000.0,218.56,Nhà hẻm,3.99m,8.69m,Đông Bắc,5.0,4.0,4.0,50.10m²,159m²,4m,Đầy đủ,
8YNMN3,"270/33 Lý Thường Kiệt, P.14, Q.10, TP.HCM",22000000.0,259.12,Nhà hẻm,4.1m,23m,Đông Nam,5.0,4.0,3.0,84.90m²,220.80m²,12m,Cơ bản,
JX9XD0,"C2/61B Tân Liêm, Xã Phong Phú, H.Bình Chánh, TP.HCM",4500000.0,52.14,Nhà hẻm,5m,17.2m,Tây Bắc,1.0,1.0,1.0,86.30m²,,,,
QH4WRU,"Huỳnh Tấn Phát, P.Phú Thuận, Q.7, TP.HCM",5700000.0,121.79,Nhà hẻm,3m,16m,Đông,3.0,4.0,3.0,46.80m²,150m²,5m,Đầy đủ,Sổ riêng
5YV0X7,"103/2A3 Đường Lý Chiêu Hoàng, P.10, Q.6, TP.HCM",11200000.0,133.01,Nhà hẻm,4m,20.2m,Đông Nam,9.0,9.0,5.0,84.20m²,270.90m²,4m,Đầy đủ,
6YUVZ8,"872/91 Quang Trung, P.8, Q.Gò Vấp, TP.HCM",16800000.0,235.95,Nhà hẻm,4m,22.29m,Đông Nam,8.0,10.0,6.0,71.20m²,345.90m²,7.02m,,
JZB9A0,"93/13/8 Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",2290000.0,238.54,Nhà hẻm,2.6m,5.68m,Tây Bắc,1.0,2.0,2.0,9.60m²,17.90m²,4m,,
QAJBAU,"An Phú Đông 11, P.An Phú Đông, Q.12, TP.HCM",1650000.0,47.14,Nhà hẻm,5m,7m,Tây Nam,1.0,1.0,1.0,35m²,,,,
37UKDQ,"550/31 Lê Hồng Phong, P.10, Q.10, TP.HCM",3350000.0,239.28,Nhà hẻm,2.44m,5.84m,Tây Nam,2.0,2.0,3.0,14m²,,,Đầy đủ,
5DHCH7,"40/2 Ấp Mới 2, Xã Trung Chánh, H.Hóc Môn, TP.HCM",6700000.0,45.64,Nhà hẻm,6.32m,22.9m,Đông Bắc,3.0,2.0,1.0,146.80m²,40.10m²,5m,,
JPNV60,"Bùi Thị Xuân, P.3, Q.Tân Bình, TP.HCM",7200000.0,141.17,Nhà hẻm,3.8m,13.5m,Đông Nam,2.0,1.0,2.0,51m²,89.38m²,3m,,Sổ riêng
DR9KDH,"220/54/8 Âu Cơ, P.9, Q.Tân Bình, TP.HCM",7500000.0,183.37,Nhà hẻm,5.35m,9.1m,Đông,1.0,1.0,1.0,40.90m²,40.90m²,3.9m,,
PT2NAG,"26A đường số 2B, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",8300000.000000001,128.68,Nhà hẻm,4m,15.94m,Tây Bắc,1.0,1.0,3.0,64.50m²,111.20m²,5.8m,,
6Q24F8,"116/10/3 Lê Bình, P.4, Q.Tân Bình, TP.HCM",5100000.0,209.01,Nhà hẻm,3.27m,7.52m,Tây Bắc,3.0,3.0,4.0,24.40m²,74.90m²,2.5m,Cơ bản,
EWAQ24,"578A/13 Ấp 1, Xã An Phú Tây, H.Bình Chánh, TP.HCM",12000000.0,33.38,Nhà hẻm,6.2m,51.9m,Đông,6.0,6.0,1.0,359.40m²,,3m,Cơ bản,
UD0TYS,"33/20/3 Thạnh Xuân 33, P.Thạnh Xuân, Q.12, TP.HCM",3850000.0,64.16,Nhà hẻm,4m,15m,Nam,2.0,2.0,1.0,60m²,,,,
5Y1C97,"18/8 Đường Phù Đổng Thiên Vương, P.11, Q.5, TP.HCM",6600000.0,151.37,Nhà hẻm,3.3m,13.2m,Nam,2.0,2.0,3.0,43.60m²,124.68m²,4m,Cơ bản,
C4SX8B,"293/31/1H Phan Xích Long, P.2, Q.Phú Nhuận, TP.HCM",6400000.0,188.23,Nhà hẻm,3m,11m,Đông,6.0,4.0,5.0,34m²,57.30m²,2.5m,Cơ bản,
