Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
W22Y9R,"10 Võ Chí Công, P.Phước Long B, TP.Thủ Đức, TP.HCM",4500000.0,90.0,Căn hộ chung cư,A10-21-09,Tây Bắc,1.0,1.0,50m²,45m²,Cơ bản,Imperia Sensa,Nhà trống
7DTU5A,"đường Phước Thiện, Long Bình, Q.9, TP.HCM",3500000.0,52.63,Căn hộ chung cư,"Căn hộ 2.19, Tầng 2, Tòa nhà S7.02",,2.0,3.0,66.50m²,,,"Phân khu The Origami, Khu đô thị Vinhomes Grand Park",
6QZNQ8,"326/1 Đường Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM",5400000.0,72.19,Căn hộ chung cư,12.1 - 13,,2.0,1.0,74.80m²,,,Chung cư Thế Kỷ 21,Nhà trống
UKMA4S,"137 Gò Dầu, P.Tân Quý, Q.Tân Phú, TP.HCM",2450000.0,30.62,Căn hộ chung cư,,,2.0,2.0,,,Cơ bản,,
JPC7G0,"Chung cư Hoàng Anh Gold Place, đường Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",4099999.9999999995,36.93,Căn hộ chung cư,"Căn hộ số 3.1 tầng 3, Khu A2",,3.0,2.0,111m²,111m²,,Chung cư Hoàng Anh Gold Place,
AH8NDY,"Chung cư Hoàng Anh Gold Place, đường Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",4350000.0,42.39,Căn hộ chung cư,"Căn hộ số 4.2 tầng 4, Khu B3",,3.0,2.0,102.60m²,102.60m²,,Chung cư Hoàng Anh Gold Place,
DB7F2H,"Số 1 đường 104, Đảo Kim Cương, Bình Trưng Tây, Q.2, TP.HCM",130000000.0,232.14,Căn hộ chung cư,"Số 1 đường 104, Đảo Kim Cương",,4.0,4.0,560m²,,Đầy đủ,Brilliant Tower 4,Đang ở
ACWXXY,"CityLand Park Hills, đường Phan Văn Trị, P.10, Q.Gò Vấp, TP.HCM",12500000.0,66.91,Căn hộ chung cư,,Tây Nam,5.0,4.0,186.80m²,173m²,Đầy đủ,CityLand Park Hills,Đang ở
3H5FCQ,"Tân Kỳ Tân Quý, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",4130000.0,65.55,Căn hộ chung cư,,Tây,2.0,2.0,63m²,63m²,Đầy đủ,An Gia Garden,Đang ở
GTRV42,"Căn hộ chung cư số 4.06 Tầng 5, Tháp CC8, Khu nhà ở Nguyên Sơn, ấp 3A, Xã Bình Hưng, H.Bình Chánh, TP.HCM",6300000.0,67.88,Căn hộ chung cư,Căn hộ số 4.06 Tầng 5,,3.0,2.0,92.80m²,,,"Căn hộ chung cư Tháp CC8, Khu nhà ở Nguyên Sơn",
