Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính
RGVA8J,"Thửa 616 - tờ 19, đường Đặng Như Mai, Thạnh Mỹ Lợi, Q.2, TP.HCM",58000000.0,200.55,Đất,15m,20m,Đông Nam
4PBVHF,"49/3a Đỗ Tấn Phong, Tân Đông Hiệp, Dĩ An, TP.HCM",2950000.0,45.38,Đất,5m,,
3Y32PQ,"44 Quốc lộ 1K, P.Đông Hòa, TP.Dĩ An, TP.HCM",5950000.0,39.66,Đất,7.5m,22m,
WZ8H4R,"254/4A Phạm Văn Chí, P.Bình Tiên, Q.6, TP.HCM",4700000.0,94.37,Đất,,,Tây Bắc
KJN5TC,"160 số 1, P.Long Trường, TP.Thủ Đức, TP.HCM",6700000.0,49.92,Đất,,,Bắc
5KJT47,"Thửa 697 - tờ 39 Suối Lội, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",3100000.0,29.77,Đất,5m,21.91m,Tây
J2HMW0,"Thửa 665 - Tờ 64 Huỳnh Thị Dần, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2200000.0,16.15,Đất,5.09m,27.64m,Đông Bắc
8YFVS3,"265/98/6 Bùi Văn Ngữ, P.Hiệp Thành, Q.12, TP.HCM",3500000.0,39.72,Đất,,,Đông Nam
SC01C5,"299/11 Bình Thành, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",22400000.0,36.24,Đất,,,Bắc
C0X7ZB,"266/40/25G Tôn Đản, P.8, Q.4, TP.HCM",5800000.0,85.41,Đất,,,Tây Nam
5BDDC7,"64 Số 2, P.Dĩ An, TP.Dĩ An, TP.HCM",7500000.0,100.0,Đất,5m,,
3DWX4Q,"1454/12E Lê Văn Lương, Xã Phước Kiển, H.Nhà Bè, TP.HCM",5200000.0,40.78,Đất,,,Bắc
JNQDY0,"70/22 Phan Huy Ích, P.14, Q.Gò Vấp, TP.HCM",6700000.0,87.12,Đất,,,Bắc
9NQ1SP,"Thửa 814 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,39.07,Đất,6.15m,15.53m,Tây Nam
5KJEU7,"Thửa 812 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,39.26,Đất,6.13m,15.48m,Tây Nam
D4G0BH,"Thửa 815 - tờ 167 Dương Công Khi, Ấp 1, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",3200000.0,37.29,Đất,5.9m,15.55m,Tây Nam
0JSF9N,"Thửa 541 - Tờ: 53, Đường Bùi Công Trừng, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4500000.0,31.71,Đất,7m,21.6m,
A4GAQY,"48 Cây Trâm, P.08, Q.Gò Vấp, TP.HCM",68100000.0,127.0,Đất,,,Đông Bắc
7EPP8A,"44 TL 54, P.Thạnh Lộc, Q.12, TP.HCM",5500000.0,48.88,Đất,,,Tây Bắc
RNQHQJ,"Số 6, P.Tam Bình, TP.Thủ Đức, TP.HCM",14500000.0,67.41,Đất,7.02m,30.97m,Đông Nam
AC4EEY,"Thửa 759 -  Tờ 24 Đình Phong Phú, Tăng Nhơn Phú B, Q.9, TP.HCM",6200000.0,76.54,Đất,4.5m,17.461m,Đông Bắc
SC0MY5,"12 Hẻm 4, P.Tân Thới Nhất, Q.12, TP.HCM",8500000.0,68.16,Đất,,,Đông Bắc
3HY7UQ,"Thửa 752 - Tờ 4 Thạnh Lộc 47, P.Thạnh Lộc, Q.12, TP.HCM",22000000.0,44.08,Đất,9.5m,53m,Đông Bắc
9M07MP,"121 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",120000000.0,33.32,Đất,40m,80m,Tây Bắc
6AXTU8,"Thửa 939 - Tờ 1 Quốc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",3790000.0,61.12,Đất,5m,12m,Đông Nam
GMWW72,"170 số 25, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2000000.0,1.91,Đất,15m,70m,Tây Nam
857FV3,"Thửa 615-Tờ 14 Huỳnh Thị Mua, Xã Thái Mỹ, H.Củ Chi, TP.HCM",880.0,2.74,Đất,5.08m,63.59m,Bắc
