Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
GXWFS2,"Tam Long, TP.HCM, TP.HCM",3600000.0,28.66,Nhà mặt tiền,5m,25m,Đông Bắc,2.0,2.0,3.0,125.60m²,,,,
DF5Y0H,"Khu dân cư 13A Intresco, xã Bình Hưng, TP. HCM., Xã Bình Hưng, H.Bình Chánh, TP.HCM",18200000.0,130.0,Nhà mặt tiền,7m,20m,,1.0,1.0,2.0,140m²,140m²,20m,Bàn giao thô,
DR9BKH,"42/9 Tân Hiệp 4, Xã Tân Hiệp, H.Hóc Môn, TP.HCM",7200000.0,40.0,Nhà mặt tiền,9m,20m,Đông Nam,1.0,2.0,2.0,180m²,180m²,10m,Đầy đủ,
YBEX4D,"193 Cô Giang, P.Cô Giang, Q.1, TP.HCM",25000000.0,596.65,Nhà mặt tiền,3.57m,19.22m,Tây Bắc,5.0,5.0,5.0,41.90m²,121.20m²,12m,,
6AUU58,"33 Ngô Văn Sở, Dĩ An, Dĩ An, TP.HCM",8800000.0,96.7,Nhà mặt tiền,4.4m,,,4.0,5.0,3.0,,91m²,,,
7BX2XA,"96 Nguyễn Đình Chiểu, Đông Hòa, Dĩ An, TP.HCM",7700000.0,82.79,Nhà mặt tiền,5m,19m,,4.0,4.0,2.0,,93m²,,,
Q5PBQU,"Văn Thân, P.8, Q.6, TP.HCM",26000000.0,174.14,Nhà mặt tiền,5.9m,24.45m,Đông Nam,4.0,5.0,2.0,145m²,192m²,16m,,
GRJU2N,"Tân Thành, P.16, Q.11, TP.HCM",12000000.0,225.56,Nhà mặt tiền,4m,12.5m,Nam,4.0,4.0,4.0,53.20m²,147m²,4m,,
JE8E0D,"Ba Đình, P.8, Q.8, TP.HCM",16900000.0,219.76,Nhà mặt tiền,7.78m,9.6m,Bắc,7.0,8.0,4.0,76.90m²,248.30m²,16m,,
0G8TZ9,"đường Minh Phụng, P.2, Q.6, TP.HCM",25000000.0,219.57,Nhà mặt tiền,4.1m,30m,Tây,1.0,1.0,1.0,112.70m²,,13m,,
42MYAF,"178 Nguyễn Suý, P.Tân Quý, Q.Tân Phú, TP.HCM",15000000.0,166.66,Nhà mặt tiền,5m,18m,Đông,7.0,4.0,2.0,90m²,234m²,20m,Cơ bản,
3SDPCQ,"115 Nguyễn Văn Luông, P.10, Q.6, TP.HCM",10000000.0,169.59,Nhà mặt tiền,4.22m,13.4m,Đông Bắc,2.0,2.0,2.0,56.60m²,118m²,7.5m,,Sổ riêng
8UYKG3,"đường Bình Tiên, P.14, Q.6, TP.HCM",40000000.0,233.99,Nhà mặt tiền,6.4m,25.71m,Tây,6.0,4.0,3.0,164.50m²,276.20m²,17m,,Sổ riêng
GTDJB2,"Tái Thiết, P.11, Q.Tân Bình, TP.HCM",14000000.0,127.5,Nhà mặt tiền,4.5m,21.4m,Tây Bắc,2.0,2.0,3.0,109.80m²,,4m,,
AH9WKY,"đường Bà Hom, P.13, Q.6, TP.HCM",25000000.0,256.33,Nhà mặt tiền,5.1m,22.75m,Tây Nam,3.0,3.0,2.0,94m²,121.20m²,7.2m,,
KEW2WC,"Đinh Công Tráng, P.Tân Định, Q.1, TP.HCM",38000000.0,353.35,Nhà mặt tiền,3.95m,27.1m,Tây Bắc,8.0,8.0,6.0,99.50m²,397.04m²,4.55m,Cơ bản,Sổ riêng
Q5DR0U,"Tô Hiệu, P.Tân Thới Hòa, Q.Tân Phú, TP.HCM",17500000.0,196.03,Nhà mặt tiền,4m,20m,Tây,3.0,4.0,3.0,80m²,291.20m²,11m,,Sổ riêng
7DEK1A,"113 Tân Hóa, P.14, Q.6, TP.HCM",13500000.0,164.17,Nhà mặt tiền,6.02m,23.82m,Đông Bắc,1.0,1.0,4.0,118.60m²,265.47m²,7m,Bàn giao thô,Sổ riêng
SABGS5,"453 Hoàng Văn Thụ, P.4, Q.Tân Bình, TP.HCM",30000000.0,338.39,Nhà mặt tiền,4.48m,20.2m,Tây Bắc,6.0,3.0,5.0,90.46m²,,21m,,Sổ riêng
6AYH68,"Hoàng Diệu, P.15, Q.4, TP.HCM",2750000.0,182.11,Nhà mặt tiền,2.5m,6.3m,Tây Bắc,2.0,3.0,4.0,15.10m²,60.40m²,,,
AHWNZY,"70 Đặng Nguyên Cẩn, P.14, Q.6, TP.HCM",13000000.0,172.65,Nhà mặt tiền,7.98m,19.6m,Đông Nam,1.0,1.0,1.0,74.10m²,68.80m²,11m,,Sổ riêng
R9GDAJ,"Tám Danh, P.4, Q.8, TP.HCM",11000000.0,242.82,Nhà mặt tiền,3.47m,13m,,5.0,4.0,4.0,45.30m²,130m²,8m,,
GT44U2,"Số 43, P.10, Q.6, TP.HCM",6300000.0,210.0,Nhà mặt tiền,3m,10m,Đông,3.0,3.0,4.0,30m²,100.30m²,4m,Cơ bản,
