Ma_BDS,Loai_tien_ich,Ten_tien_ich,Khoảng cách
0ZYSV9,chợ,Chợ An Sương,557.0
0ZYSV9,chợ,Chợ Lạc Quang,971.0
0ZYSV9,chợ,Chợ Cầu,1300.0
0ZYSV9,trường học,Trường Trung học phổ thông Trường Chinh,142.0
0ZYSV9,trường học,Trường Trung học cơ sở - Trung học phổ thông Pathway Academy,339.0
0ZYSV9,trường học,Trường Trung học cơ sở Phan Bội Châu,521.0
0ZYSV9,bệnh viện,Bệnh viện Đa khoa Tâm Trí Sài Gòn,1200.0
0ZYSV9,công viên,CÔNG VIÊN 8XLUS,1300.0
0ZYSV9,công viên,Công viên Phần mềm Quang Trung,1300.0
0ZYSV9,siêu thị,FamilyMart,1300.0
