Ma_BDS,Loai_tien_ich,Ten_tien_ich,Khoảng cách
GXWFS2,chợ,Chợ Hoà Long,1100.0
GXWFS2,trường học,Trường Trung học cơ sở Nguyễn Thanh Đằng,1000.0
GXWFS2,trường học,Trường Tiểu học Nguyễn Minh Khanh,1300.0
GXWFS2,trường học,Trường Tiểu học Hòa Long,1700.0
GXWFS2,bệnh viện,Bệnh viện Đa khoa Bà Rịa,1200.0
GXWFS2,bệnh viện,Bệnh viện Y học cổ truyền Bà Rịa-Vũng Tàu,1400.0
GXWFS2,công viên,Công viên Nguyễn Thanh Đằng,1200.0
GXWFS2,công viên,Công viên Trần Văn Thượng,1900.0
GXWFS2,trung tâm thương mại,công tuấn,1100.0
GXWFS2,trung tâm thương mại,ngọc dung,1200.0
