Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
SA27D5,"60/15/16A số 2, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",5600000.0,76.19,Nhà hẻm,4m,21.24m,Tây Bắc,2.0,2.0,2.0,73.50m²,,4m,Cơ bản,
21JNPZ,"217 Võ Thị Sáu, Đông Hòa, Dĩ An, TP.HCM",6950000.0,96.52,Nhà hẻm,4m,,,4.0,4.0,2.0,,72m²,,,
PV5Q5G,"222/4 Nguyễn Thái Sơn, P.4, Q.Gò Vấp, TP.HCM",7120000.0,78.65,Nhà hẻm,,,Tây Bắc,,,,,90.60m²,,,
6Q2EG8,"Nguyễn Bình Ấp 2, Xã Phú Xuân, H.Nhà Bè, TP.HCM",3650000.0,82.95,Nhà hẻm,3.61m,13.78m,Đông Bắc,2.0,1.0,1.0,44m²,33.30m²,4m,Cơ bản,
3DW1EQ,"77/4 Quốc lộ 1A, P.Linh Xuân, TP.Thủ Đức, TP.HCM",4900000.0,41.88,Nhà hẻm,,,Đông Nam,,,,,117m²,,,
AHNB3Y,"Nguyễn An Ninh, P.14, Q.Bình Thạnh, TP.HCM",30000000.0,145.98,Nhà hẻm,10m,20m,Bắc,3.0,5.0,3.0,205.50m²,164m²,,,
8YUNF3,"146/3 Nguyễn Văn Trỗi, P.8, Q.Phú Nhuận, TP.HCM",14600000.0,224.61,Nhà hẻm,6.8m,10m,Đông Bắc,1.0,1.0,1.0,65m²,70m²,4m,Cơ bản,
3DWXKQ,"01 KP1, P.Thạnh Lộc, Q.12, TP.HCM",5100000.0,48.75,Nhà hẻm,,,Tây Bắc,,,,,104.60m²,,,
QHR6DU,"33 Hẻm 164, P.Tân Chánh Hiệp, Q.12, TP.HCM",6100000.0,60.09,Nhà hẻm,,,Đông,,,,,101.50m²,,,
UKJV4S,"330 An Bình, P.7, Q.5, TP.HCM",13200000.0,255.81,Nhà hẻm,,,Đông Nam,,,,,51.60m²,,,
