Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
0ZYSV9,"Căn hộ 404 Lô A4 Chung cư An Sương, P.Tân Hưng Thuận, Q.12, TP.HCM",2100000.0,38.46,Căn hộ chung cư,Lô A4 - Tầng 5 - 404,,1.0,1.0,54.60m²,50.90m²,Cơ bản,Chung cư An Sương,
374SJQ,"Lô V Chung cư Ngô Gia Tự Trần Nhân Tôn, P.2, Q.10, TP.HCM",3500000.0,69.0,Căn hộ chung cư,Căn hộ số 022 Tầng 1,,2.0,1.0,35.60m²,,,Chung cư Ngô Gia Tự,
KTDZCJ,"chung cư MT Eastmark City, Long Trường, Q.9, TP.HCM",4200000.0,57.22,Căn hộ chung cư,Block C,,2.0,2.0,73.40m²,,,MT Eastmark City,
7KKE8A,"Căn hộ 7.04, Tầng 8, Chung cư IC2 - Cantavil đường số 25, P.An Phú, TP.Thủ Đức, TP.HCM",9000000.0,103.44,Căn hộ chung cư,B.8.04,,3.0,2.0,87m²,87m²,,Chung cư IC2 - Cantavil,
RGM94J,"đường số 10, P.10, Q.Gò Vấp, TP.HCM",8000000.0,71.23,Căn hộ chung cư,,Nam,2.0,2.0,112.30m²,105.40m²,Đầy đủ,CityLand Park Hills,
ACKKWY,"Căn hộ BS15.21.17- Phân khu The Beverly Solari, Vinhomes Grand Park - đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",4500000.0,76.27,Căn hộ chung cư,BS15.21.17,,2.0,2.0,59m²,54m²,Bàn giao thô,The Beverly Solari - Vinhomes Grand Park,
9VN2YP,"230 Nguyễn Trãi, P.Nguyễn Cư Trinh, Q.1, TP.HCM",12500000.0,290.69,Căn hộ chung cư,,,1.0,1.0,43m²,,Đầy đủ,The Lancaster,Nhà trống
9TZBXP,"Căn 605 (tầng 7) Chung cư 22 Nguyễn Trãi, P.Bến Thành, Q.1, TP.HCM",2000000.0,76.01,Căn hộ chung cư,Căn 605 - Tầng 7,,1.0,1.0,26.31m²,,,Chung cư 22 Nguyễn Trãi,
37S6MQ,"Căn hộ BS16.30.26 The Beverly Solari đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",4350000.0,62.14,Căn hộ chung cư,BS16.30.26,Đông Nam,2.0,2.0,70m²,64m²,,The Beverly Solari - Vinhomes Grand Park,
40GBEF,"Căn S20 và S21A, Tầng lững, khối 1 Chung cư Khang Gia Tân Hương, 377 Tân Hương, P.Tân Quý, Q.Tân Phú, TP.HCM",1900000.0,0.32,Căn hộ chung cư,S20 và S21A - Tầng lững - Khối 1,,2.0,2.0,46m²,,,Chung cư Khang Gia Tân Hương,
