Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính
RGVA8J,"Thửa 616 - tờ 19, đường Đặng Như Mai, Thạnh Mỹ Lợi, Q.2, TP.HCM",58000000.0,200.55,Đất,15m,20m,Đông Nam
4PBVHF,"49/3a Đỗ Tấn Phong, Tân Đông Hiệp, Dĩ An, TP.HCM",2950000.0,45.38,Đất,5m,,
3Y32PQ,"44 Quốc lộ 1K, P.Đông Hòa, TP.Dĩ An, TP.HCM",5950000.0,39.66,Đất,7.5m,22m,
WZ8H4R,"254/4A Phạm Văn Chí, P.Bình Tiên, Q.6, TP.HCM",4700000.0,94.37,Đất,,,Tây Bắc
KJN5TC,"160 số 1, P.Long Trường, TP.Thủ Đức, TP.HCM",6700000.0,49.92,Đất,,,Bắc
5KJT47,"Thửa 697 - tờ 39 Suối Lội, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",3100000.0,29.77,Đất,5m,21.91m,Tây
J2HMW0,"Thửa 665 - Tờ 64 Huỳnh Thị Dần, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2200000.0,16.15,Đất,5.09m,27.64m,Đông Bắc
8YFVS3,"265/98/6 Bùi Văn Ngữ, P.Hiệp Thành, Q.12, TP.HCM",3500000.0,39.72,Đất,,,Đông Nam
SC01C5,"299/11 Bình Thành, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",22400000.0,36.24,Đất,,,Bắc
C0X7ZB,"266/40/25G Tôn Đản, P.8, Q.4, TP.HCM",5800000.0,85.41,Đất,,,Tây Nam
