Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
GXWFS2,"Tam Long, TP.HCM, TP.HCM",3600000.0,28.66,Nhà mặt tiền,5m,25m,Đông Bắc,2.0,2.0,3.0,125.60m²,,,,
DF5Y0H,"Khu dân cư 13A Intresco, xã Bình Hưng, TP. HCM., Xã Bình Hưng, H.Bình Chánh, TP.HCM",18200000.0,130.0,Nhà mặt tiền,7m,20m,,1.0,1.0,2.0,140m²,140m²,20m,Bàn giao thô,
DR9BKH,"42/9 Tân Hiệp 4, Xã Tân Hiệp, H.Hóc Môn, TP.HCM",7200000.0,40.0,Nhà mặt tiền,9m,20m,Đông Nam,1.0,2.0,2.0,180m²,180m²,10m,Đầy đủ,
YBEX4D,"193 Cô Giang, P.Cô Giang, Q.1, TP.HCM",25000000.0,596.65,Nhà mặt tiền,3.57m,19.22m,Tây Bắc,5.0,5.0,5.0,41.90m²,121.20m²,12m,,
6AUU58,"33 Ngô Văn Sở, Dĩ An, Dĩ An, TP.HCM",8800000.0,96.7,Nhà mặt tiền,4.4m,,,4.0,5.0,3.0,,91m²,,,
7BX2XA,"96 Nguyễn Đình Chiểu, Đông Hòa, Dĩ An, TP.HCM",7700000.0,82.79,Nhà mặt tiền,5m,19m,,4.0,4.0,2.0,,93m²,,,
Q5PBQU,"Văn Thân, P.8, Q.6, TP.HCM",26000000.0,174.14,Nhà mặt tiền,5.9m,24.45m,Đông Nam,4.0,5.0,2.0,145m²,192m²,16m,,
GRJU2N,"Tân Thành, P.16, Q.11, TP.HCM",12000000.0,225.56,Nhà mặt tiền,4m,12.5m,Nam,4.0,4.0,4.0,53.20m²,147m²,4m,,
JE8E0D,"Ba Đình, P.8, Q.8, TP.HCM",16900000.0,219.76,Nhà mặt tiền,7.78m,9.6m,Bắc,7.0,8.0,4.0,76.90m²,248.30m²,16m,,
0G8TZ9,"đường Minh Phụng, P.2, Q.6, TP.HCM",25000000.0,219.57,Nhà mặt tiền,4.1m,30m,Tây,1.0,1.0,1.0,112.70m²,,13m,,
